,dir/5WEKPBBWFKF47XDYW5QBC36KFVBYJFE5.pdf,dir/IM4NOHWT2KSDC4FBCAXQW722XG3AZCNP.pdf,dir/CS4O7BCLPRK6J5MKIK7BPBFC2UURCM7X.pdf,dir/HGJIJLL3ZVEO2ISTFZSKH53BIC2K3UYX.pdf,dir/BNAB3PKSEPVY6LVEMD6PZQXWXMDDTQ7U.pdf,dir/KAI53AEUTC4X3GRV6WZDEZUWVEYPTPPU.pdf,dir/6RWOLVNDX4CTI4PAGDGMWC3FFBTVW3TK.pdf,dir/LFGBSD5XRLBIZCRBVWTKQPP2JEVRWRRS.pdf,dir/EKWVDOMQ3BRDHPPTHV47A37AY2NUS7XK.pdf,dir/6A2V6MYYSW4C6QUKXJX7BEGNPYKZGV6O.pdf
synar,['103'],[],[],[],[],[],[],[],[],[]
coordin,"['104', '241']",[],[],[],[],['508'],[],[],['342'],[]
en,['106'],[],[],[],[],[],[],[],[],['913']
obey,['107'],[],[],[],[],[],[],[],[],[]
sabo,['108'],[],[],[],[],[],[],[],[],[]
tanner,['109'],[],[],[],[],[],[],[],[],[]
ergi,['110'],[],[],[],[],[],[],[],[],[]
shall,"['111', '143', '252', '300']",[],[],[],"['5772', '5978', '6004', '6732', '6745', '6769', '6776', '6789', '6798', '6801', '6804', '6833', '6854', '6863', '6885']",[],[],[],"['89', '97', '125', '140', '151', '172', '192', '205', '234', '247', '260', '270', '289', '328', '348', '378', '400', '414', '435', '476', '483', '498', '511', '584', '603', '612', '636', '674', '703', '723', '759', '781']",[]
transmit,"['112', '253']",[],[],[],[],[],[],[],[],[]
committe,"['113', '260', '406', '414', '430', '440', '478', '488', '752', '783']",[],[],['956'],"['3182', '3212', '3243', '3301']",[],[],[],[],[]
olver,['116'],[],[],[],[],[],[],[],[],[]
sander,['117'],[],[],[],[],[],[],[],[],[]
tauzin,['118'],[],[],[],[],[],[],[],[],[]
congress,"['119', '261', '415', '528']",[],[],[],[],[],[],[],[],[]
name,"['120', '262']",[],[],[],"['3634', '3829', '3957', '3989', '4137', '4302', '5563', '6453', '6506', '6778']",[],"['297', '301', '346']",[],"['209', '769']",[]
subsect,['121'],[],[],[],[],[],[],[],[],[]
e,"['122', '273', '405', '888']",[],[],[],"['395', '1863', '3772', '3789', '3910', '4716', '5790', '5822', '5976', '6017', '6131', '6600']",[],"['33', '37', '44', '46', '51', '63', '65', '79', '82', '89', '115', '119', '125', '127', '138', '142', '146', '150', '156', '158', '164', '171', '179', '186', '195', '199', '209', '211', '222', '229', '251', '260', '266', '275', '284', '291', '292', '295', '299', '300', '302', '304', '320', '326', '328', '331', '337', '344', '349', '351', '389', '425', '440', '451', '457', '467', '470', '473', '506', '521', '529', '542', '547', '557', '563', '572', '576', '578', '579', '584', '586', '588', '594', '596']",['251'],"['429', '754']",[]
ortiz,['124'],[],[],[],[],[],[],[],[],[]
sangmeist,['125'],[],[],[],[],[],[],[],[],[]
taylor,"['126', '519']",[],[],[],[],[],[],[],[],[]
ms,['127'],[],[],[],[],[],[],[],[],[]
a,"['128', '158', '319', '344', '389', '897']",[],[],"['620', '1387', '2263', '2428']","['24', '30', '404', '491', '492', '493', '497', '498', '499', '514', '515', '517', '535', '539', '2051', '2147', '3129', '3267', '3580', '3658', '3659', '3662', '3663', '3683', '3686', '3688', '3707', '3708', '3722', '3823', '3824', '3877', '3881', '3902', '3906', '3922', '3926', '3937', '3941', '4076', '4080', '4099', '4103', '4105', '4116', '4120', '4131', '4202', '4220', '4235', '4237', '4239', '4265', '4277', '4293', '4367', '4375', '4379', '4383', '4386', '4398', '4402', '4418', '4422', '4435', '4506', '4510', '4526', '4530', '4542', '4565', '4586', '4635', '4639', '4643', '4646', '4745', '4750', '4769', '4773', '4775', '4784', '4898', '5122', '5763', '5770', '5771', '5789', '5791', '5821', '5823', '5949', '5975', '5993', '6002', '6016', '6130', '6422', '6494', '6525']","['643', '957']","['42', '56', '77', '85', '86', '129', '459']",[],['10'],"['212', '733', '751', '1371', '1462', '1788']"
propos,"['132', '189']",[],[],[],"['666', '6738', '6864', '6886']",['558'],[],"['27', '67', '73', '75', '82', '122', '152', '211', '234', '245', '258']",[],[]
each,"['134', '298']",[],[],[],[],[],[],[],[],[]
orton,['136'],[],[],[],[],[],[],[],[],[]
santorum,['137'],[],[],[],[],[],[],[],[],[]
thoma,"['138', '148', '677']",[],[],[],[],[],[],[],[],[]
ga,"['139', '504', '666']",[],[],[],[],[],[],['172'],['549'],[]
specify,['144'],[],[],[],[],[],[],[],[],[]
owen,"['145', '631']",[],[],[],[],[],[],[],[],[]
ut,['146'],[],[],[],[],[],[],[],[],[]
sarpaliu,['147'],[],[],[],[],[],[],[],[],[]
wy,['149'],[],[],[],[],[],[],[],[],[]
oxley,['155'],[],[],[],[],[],[],[],[],[]
savag,['156'],[],[],[],[],[],[],[],[],[]
thornton,['157'],[],[],[],[],[],[],[],[],[]
account,['159'],[],[],"['1068', '1081', '1373', '1393', '1438', '1472', '1912', '1978']",['5704'],[],"['67', '117']",[],"['423', '427']",[]
activ,"['161', '195', '275', '322', '374', '391']",[],[],"['158', '387', '432', '1195', '1276', '1352']",['2965'],"['676', '718', '734', '737', '752']",[],['212'],['606'],"['1055', '1063', '1071', '1209', '1292', '1443', '1484', '1496', '1713', '1757']"
par,['162'],[],[],[],[],[],['432'],[],[],[]
packard,['164'],[],[],[],[],[],[],[],[],[]
sawyer,['165'],[],[],[],[],[],[],[],[],[]
torr,['166'],[],[],[],[],[],[],[],[],[]
ticular,['167'],[],[],[],[],[],[],[],[],[]
program,"['168', '537', '930']",[],[],[],[],[],[],['17'],[],[]
pro,"['170', '659']",[],[],[],['2926'],[],[],[],[],[]
pose,['171'],[],[],['340'],"['3382', '3393', '3408', '3426']",[],[],[],[],[]
deriv,['173'],[],[],['2314'],[],[],[],[],[],[]
