,dir/5WEKPBBWFKF47XDYW5QBC36KFVBYJFE5.pdf,dir/IM4NOHWT2KSDC4FBCAXQW722XG3AZCNP.pdf,dir/CS4O7BCLPRK6J5MKIK7BPBFC2UURCM7X.pdf,dir/HGJIJLL3ZVEO2ISTFZSKH53BIC2K3UYX.pdf,dir/BNAB3PKSEPVY6LVEMD6PZQXWXMDDTQ7U.pdf,dir/KAI53AEUTC4X3GRV6WZDEZUWVEYPTPPU.pdf,dir/6RWOLVNDX4CTI4PAGDGMWC3FFBTVW3TK.pdf,dir/LFGBSD5XRLBIZCRBVWTKQPP2JEVRWRRS.pdf,dir/EKWVDOMQ3BRDHPPTHV47A37AY2NUS7XK.pdf,dir/6A2V6MYYSW4C6QUKXJX7BEGNPYKZGV6O.pdf
tauzin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
congress,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
name,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
subsect,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
ortiz,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sangmeist,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
taylor,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ms,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
propos,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
each,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
santorum,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thoma,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ga,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
specify,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owen,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ut,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sarpaliu,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxley,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
savag,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thornton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
account,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
activ,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
par,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
packard,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sawyer,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
torr,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
