,dir/5WEKPBBWFKF47XDYW5QBC36KFVBYJFE5.pdf,dir/IM4NOHWT2KSDC4FBCAXQW722XG3AZCNP.pdf,dir/CS4O7BCLPRK6J5MKIK7BPBFC2UURCM7X.pdf,dir/HGJIJLL3ZVEO2ISTFZSKH53BIC2K3UYX.pdf,dir/BNAB3PKSEPVY6LVEMD6PZQXWXMDDTQ7U.pdf,dir/KAI53AEUTC4X3GRV6WZDEZUWVEYPTPPU.pdf,dir/6RWOLVNDX4CTI4PAGDGMWC3FFBTVW3TK.pdf,dir/LFGBSD5XRLBIZCRBVWTKQPP2JEVRWRRS.pdf,dir/EKWVDOMQ3BRDHPPTHV47A37AY2NUS7XK.pdf,dir/6A2V6MYYSW4C6QUKXJX7BEGNPYKZGV6O.pdf
"('congress', 'named')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('named', 'subsection')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('subsection', 'e')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('e', 'report')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('report', 'ortiz')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('ortiz', 'sangmeister')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('sangmeister', 'taylor')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('taylor', 'ms')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('ms', 'a')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('a', 'proposed')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('proposed', 'each')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('each', 'orton')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('orton', 'santorum')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('santorum', 'thomas')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('thomas', 'ga')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('ga', 'insert')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('insert', 'specify')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('specify', 'owens')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('owens', 'ut')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('ut', 'sarpalius')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('sarpalius', 'wy')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('wy', 'oxley')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('oxley', 'savage')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('savage', 'thornton')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('thornton', 'account')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('account', 'activity')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('activity', 'par')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('par', 'packard')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('packard', 'sawyer')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('sawyer', 'torres')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('torres', 'ticular')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('ticular', 'program')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('program', 'pro')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('pro', 'posed')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('posed', 'obligated')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('obligated', 'derived')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('derived', 'b')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('b', 'pallone')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('pallone', 'saxton')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('saxton', 'torricelli')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('torricelli', 'it')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('it', 'decided')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('decided', 'yeas')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('yeas', 'panetta')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('panetta', 'scheuer')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('scheuer', 'towns')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('towns', 'affirmative')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('affirmative', 'nays')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('nays', 'amount')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('amount', 'parker')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('parker', 'schiff')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('schiff', 'unsoeld')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('unsoeld', 'activities')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('activities', 'forms')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('forms', 'assistance')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
